route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
Red,377,377_2095_DN,象山站,,,,,1,
Red,377,377_2104_UP,北投站,,,,,1,
Red,377,377_2111_DN,象山站,,,,,1,
Red,377,377_2114_UP,淡水站,,,,,1,
Red,377,377_2115_DN,象山站,,,,,1,
Red,377,377_2121_DN,大安站,,,,,1,
Red,377,377_2137_DN,象山站,,,,,1,
Red,377,377_2144_UP,北投站,,,,,1,
Red,377,377_2147_DN,大安站,,,,,1,
Red,377,377_2150_UP,北投站,,,,,1,
Red,377,377_2151_DN,大安站,,,,,1,
Red,377,377_2153_DN,大安站,,,,,1,
Red,377,377_2166_UP,北投站,,,,,1,
Red,377,377_2170_UP,北投站,,,,,1,
Red,377,377_2173_DN,大安站,,,,,1,
Red,377,377_2174_UP,北投站,,,,,1,
Red,377,377_2182_UP,淡水站,,,,,1,
Red,377,377_2185_DN,象山站,,,,,1,
Red,377,377_2196_UP,北投站,,,,,1,
Red,377,377_2208_UP,北投站,,,,,1,
Red,377,377_2216_UP,北投站,,,,,1,
Red,377,377_2220_UP,北投站,,,,,1,
Red,377,377_2223_DN,大安站,,,,,1,
Red,377,377_2224_UP,北投站,,,,,1,
Red,377,377_2233_DN,大安站,,,,,1,
Red,377,377_2235_DN,象山站,,,,,1,
Red,377,377_2239_DN,象山站,,,,,1,
Red,377,377_2240_UP,淡水站,,,,,1,
Red,377,377_2241_DN,象山站,,,,,1,
Red,377,377_2247_DN,象山站,,,,,1,
Red,377,377_2250_UP,北投站,,,,,1,
Red,377,377_2252_UP,北投站,,,,,1,
Red,377,377_2255_DN,大安站,,,,,1,
Red,377,377_2256_UP,北投站,,,,,1,
Red,377,377_2258_UP,北投站,,,,,1,
Red,377,377_2261_DN,大安站,,,,,1,
Red,377,377_2263_DN,大安站,,,,,1,
Red,377,377_2270_UP,北投站,,,,,1,
Red,377,377_2271_DN,大安站,,,,,1,
Orange,389,389_1005_DN,南勢角站,,,,,1,
Orange,389,389_1014_UP,迴龍站,,,,,1,
Orange,389,389_1017_DN,南勢角站,,,,,1,
Orange,389,389_1023_DN,南勢角站,,,,,1,
Orange,389,389_1024_UP,迴龍站,,,,,1,
Orange,389,389_1026_UP,蘆洲站,,,,,1,
Orange,389,389_1030_UP,迴龍站,,,,,1,
Orange,389,389_1032_UP,迴龍站,,,,,1,
Orange,389,389_1035_DN,南勢角站,,,,,1,
Orange,389,389_1038_UP,迴龍站,,,,,1,
Orange,389,389_1040_UP,迴龍站,,,,,1,
Orange,389,389_1044_UP,迴龍站,,,,,1,
Orange,389,389_1047_DN,南勢角站,,,,,1,
Orange,389,389_1050_UP,迴龍站,,,,,1,
Orange,389,389_1057_DN,南勢角站,,,,,1,
Orange,389,389_1060_UP,迴龍站,,,,,1,
Orange,389,389_1069_DN,南勢角站,,,,,1,
Orange,389,389_1072_UP,迴龍站,,,,,1,
Orange,389,389_1074_UP,迴龍站,,,,,1,
Orange,389,389_1082_UP,迴龍站,,,,,1,
Orange,389,389_1086_UP,迴龍站,,,,,1,
Orange,389,389_1087_DN,南勢角站,,,,,1,
Orange,389,389_1091_DN,南勢角站,,,,,1,
Orange,389,389_1095_DN,南勢角站,,,,,1,
Orange,389,389_1103_DN,南勢角站,,,,,1,
Orange,389,389_1108_UP,迴龍站,,,,,1,
Red,377,377_1281_DN,象山站,,,,,1,
Red,377,377_1288_UP,淡水站,,,,,1,
Red,377,377_1299_DN,象山站,,,,,1,
Red,377,377_1306_UP,淡水站,,,,,1,
Red,377,377_1316_UP,北投站,,,,,1,
Red,377,377_1317_DN,象山站,,,,,1,
Red,377,377_1319_DN,象山站,,,,,1,
Red,377,377_1322_UP,北投站,,,,,1,
Red,377,377_1325_DN,大安站,,,,,1,
Red,377,377_1326_UP,北投站,,,,,1,
Red,377,377_2005_DN,象山站,,,,,1,
Red,377,377_2008_UP,北投站,,,,,1,
Red,377,377_2009_DN,大安站,,,,,1,
Red,377,377_2010_UP,北投站,,,,,1,
Red,377,377_2014_UP,北投站,,,,,1,
Red,377,377_2015_DN,大安站,,,,,1,
Red,377,377_2016_UP,北投站,,,,,1,
Red,377,377_2023_DN,大安站,,,,,1,
Red,377,377_2024_UP,北投站,,,,,1,
Red,377,377_2026_UP,北投站,,,,,1,
Red,377,377_2027_DN,象山站,,,,,1,
Red,377,377_2029_DN,象山站,,,,,1,
Red,377,377_2031_DN,大安站,,,,,1,
Red,377,377_2032_UP,北投站,,,,,1,
Red,377,377_2049_DN,象山站,,,,,1,
Red,377,377_2060_UP,北投站,,,,,1,
Red,377,377_2063_DN,大安站,,,,,1,
Red,377,377_2068_UP,北投站,,,,,1,
Red,377,377_2076_UP,北投站,,,,,1,
Red,377,377_2077_DN,大安站,,,,,1,
Red,377,377_2079_DN,大安站,,,,,1,
Red,377,377_2082_UP,北投站,,,,,1,
Red,377,377_2083_DN,大安站,,,,,1,
Red,377,377_2090_UP,淡水站,,,,,1,
Red,377,377_2093_DN,象山站,,,,,1,
Red,377,377_2098_UP,北投站,,,,,1,
Red,377,377_2102_UP,北投站,,,,,1,
Red,377,377_2103_DN,大安站,,,,,1,
Red,377,377_2105_DN,大安站,,,,,1,
Red,377,377_2107_DN,象山站,,,,,1,
Red,377,377_2112_UP,淡水站,,,,,1,
Red,377,377_2113_DN,象山站,,,,,1,
Red,377,377_2118_UP,北投站,,,,,1,
Red,377,377_2119_DN,象山站,,,,,1,
Red,377,377_2122_UP,北投站,,,,,1,
Red,377,377_2123_DN,大安站,,,,,1,
Red,377,377_2130_UP,北投站,,,,,1,
Red,377,377_2134_UP,淡水站,,,,,1,
Red,377,377_2135_DN,象山站,,,,,1,
Red,377,377_2141_DN,象山站,,,,,1,
Red,377,377_2143_DN,象山站,,,,,1,
Red,377,377_2149_DN,大安站,,,,,1,
Red,377,377_2152_UP,北投站,,,,,1,
Red,377,377_2154_UP,北投站,,,,,1,
Red,377,377_2158_UP,北投站,,,,,1,
Red,377,377_2164_UP,北投站,,,,,1,
Red,377,377_2165_DN,象山站,,,,,1,
Red,377,377_2167_DN,大安站,,,,,1,
Red,377,377_2172_UP,北投站,,,,,1,
Red,377,377_2178_UP,淡水站,,,,,1,
Red,377,377_2188_UP,北投站,,,,,1,
Red,377,377_2190_UP,淡水站,,,,,1,
Red,377,377_2191_DN,象山站,,,,,1,
Red,377,377_2194_UP,北投站,,,,,1,
Red,377,377_2203_DN,大安站,,,,,1,
Red,377,377_2205_DN,象山站,,,,,1,
Red,377,377_2207_DN,象山站,,,,,1,
Red,377,377_2209_DN,大安站,,,,,1,
Red,377,377_2210_UP,北投站,,,,,1,
Red,377,377_2226_UP,北投站,,,,,1,
Red,377,377_2227_DN,象山站,,,,,1,
Red,377,377_2228_UP,北投站,,,,,1,
Red,377,377_2230_UP,北投站,,,,,1,
Red,377,377_2231_DN,大安站,,,,,1,
Red,377,377_2232_UP,北投站,,,,,1,
Red,377,377_2236_UP,北投站,,,,,1,
Red,377,377_2242_UP,淡水站,,,,,1,
Red,377,377_2243_DN,象山站,,,,,1,
Red,377,377_2251_DN,大安站,,,,,1,
Red,377,377_2262_UP,北投站,,,,,1,
